No., 5+2, 5+1,   5, 4+2,  4+1,     4,   3+2,    2+2,     3+1,        3,    1+2,     2+1,   2,       Total
1344,   0,   0,   2,    15,  219,    529,     553,   7908,    10943,     25033,     42277,   164814,    384444,   636737
1343,   0,   0,   0,     7,  162,    366,     300,   5745,     7129,     15034,     30962,    99488,    209277,   368470
1342,   0,   0,   2,     7,  151,    421,     369,   6130,     7691,     16662,     35055,   117687,    252966,   437141
1341,   0,   0,   2,     8,  134,    429,     315,   6266,     7151,     14081,     30766,   100485,    202787,   362424
1340,   0,   2,   3,     5,  167,    311,     398,   4732,     7104,     17496,     23712,   107380,    267299,   428609
1339,   0,   2,   0,     9,  168,    359,     339,   5611,     7213,     14991,     27834,   104025,    217106,   377657
1338,   0,   1,   1,    14,  187,    498,     387,   6907,     8863,     17781,     35899,   132713,    258101,   461352
1337,   0,   0,   2,     5,  131,    223,     294,   3431,     5885,     13573,     18485,    86872,    201617,   330518
1336,   0,   1,   1,    13,  204,    550,     466,   8123,     9622,     19545,     41126,   136665,    275200,   491516
1335,   0,   1,   5,     9,  286,    523,     684,   7763,    12559,     30229,     40445,   175772,    422452,   690728
1334,   0,   1,   8,    25,  450,   1029,     972,  13537,    17795,     38174,     69973,   246258,    525677,   913899
1333,   0,   0,   3,     8,  178,    350,     399,   4965,     7379,     18506,     25280,   104568,    251699,   413335
1332,   0,   3,   2,    13,  290,    425,     660,   6233,    10761,     25364,     32388,   141179,    327592,   544910
1331,   0,   0,   1,     6,  131,    300,     309,   4324,     6126,     14233,     22789,    90098,    209459,   347776
1330,   0,   1,   1,     9,  206,    434,     455,   5924,     8979,     19987,     30266,   123510,    280141,   469913
1329,   0,   1,   1,     5,  168,    290,     397,   4056,     6734,     16570,     19839,    89733,    216480,   354274
1328,   0,   0,   2,    12,  169,    434,     345,   6670,     8135,     17550,     38788,   120865,    262893,   455863
1327,   0,   1,   0,    10,  153,    360,     311,   5259,     6121,     14041,     28084,    91601,    200384,   346325
1326,   0,   2,   2,    11,  273,    592,     564,   8103,    11062,     22472,     37917,   141260,    293018,   515276
1325,   0,   1,   1,     4,  115,    315,     326,   4364,     6231,     14048,     22771,    85752,    194085,   328013
1324,   1,   2,   3,    17,  214,    853,     456,   8049,     9549,     19754,     34798,   129327,    262295,   465318
1323,   1,   1,   3,    13,  254,    424,     444,   5484,     8244,     16777,     25563,   101804,    211323,   370335
1322,   0,   0,   4,    10,  250,    602,     428,   8415,     9810,     19865,     40027,   133254,    271734,   484399
1321,   0,   0,   2,     4,  117,    262,     262,   3819,     5529,     11222,     21494,    80912,    168449,   292072
1320,   0,   1,   2,    10,  232,    482,     613,   6715,    10232,     24478,     35545,   137601,    329292,   545203
1319,   0,   0,   0,     9,  140,    371,     324,   5117,     6958,     15910,     27136,   103391,    231623,   390979
1318,   0,   2,   1,     8,  173,    430,     389,   6344,     8301,     17697,     35910,   126983,    262737,   458975
1317,   0,   0,   0,     4,  193,    327,     349,   4950,     8404,     15435,     25884,   112332,    219952,   387830
1316,   0,   0,   2,     7,  163,    408,     338,   6343,     7696,     16926,     34954,   115921,    254571,   437329
1315,   0,   1,   1,     7,  134,    297,     342,   4318,     6622,     14556,     22419,    90401,    204608,   343706
1314,   0,   1,   8,    14,  256,    598,     532,   8081,    10034,     19459,     38401,   127119,    251690,   456193
1313,   0,   0,   4,     9,  187,    366,     427,   4443,     7312,     15366,     20850,    89716,    196212,   334892
1312,   1,   1,   3,     7,  158,    326,     491,   5115,     7433,     18982,     27246,   107808,    269337,   436908
1311,   0,   1,   0,     7,  108,    226,     243,   3833,     5034,     11330,     21741,    78308,    176710,   297541
1310,   0,   0,   2,    10,  228,    413,     500,   5781,     9139,     20663,     30201,   126689,    286338,   479964
1309,   0,   0,   0,     4,  121,    226,     268,   3446,     5214,     12739,     18397,    82049,    192703,   315167
1308,   0,   0,   0,     7,  151,    354,     345,   5564,     7031,     15321,     31219,   104199,    227728,   391919
1307,   0,   0,   4,     4,  197,    303,     362,   4208,     6472,     14560,     21288,    83887,    193148,   324433
1306,   0,   1,   2,     4,  170,    318,     334,   4682,     7380,     14878,     25654,   108885,    216782,   379090
1305,   0,   0,   4,     8,  107,    189,     313,   2769,     4796,     13686,     14571,    64674,    181548,   282665
1304,   0,   0,   3,     6,  145,    255,     379,   4200,     6551,     16587,     21638,    95387,    243707,   388858
1303,   1,   0,   2,     9,  221,    360,     551,   4233,     7977,     20252,     21763,   104968,    263723,   424060
1302,   0,   3,   3,     6,  290,    350,     639,   5663,    10927,     25949,     28789,   143327,    335115,   551061
1301,   0,   2,   3,     8,  137,    253,     300,   3614,     5928,     14546,     18901,    86491,    213126,   343309
1300,   0,   1,   0,    10,  117,    326,     340,   4764,     6557,     15861,     26801,   100404,    241513,   396694
1299,   0,   0,   2,     8,  104,    250,     301,   3405,     5437,     14446,     18393,    78184,    204901,   325431
1298,   0,   1,   2,    29,  380,    695,     665,   8752,    14473,     27868,     40388,   187273,    363259,   643785
1297,   0,   1,   2,    15,  149,    393,     354,   5978,     7967,     16508,     30428,   112803,    236848,   411446
1296,   0,   1,   1,    16,  216,    628,     405,   8241,     9678,     20103,     41627,   139239,    291679,   511834
1295,   0,   2,   0,     3,  123,    264,     304,   3731,     5535,     13304,     20149,    79428,    188787,   311630
1294,   0,   0,   2,     8,  161,    371,     393,   5224,     7052,     16735,     29065,   108802,    259634,   427447
1293,   0,   0,   0,     6,  112,    232,     253,   3663,     5146,     11881,     20035,    76875,    178996,   297199
1292,   0,   1,   3,    25,  453,   1127,     938,  15494,    20368,     41606,     78078,   275059,    569561,  1002713
1291,   0,   2,   1,    17,  209,    483,     450,   6844,     9745,     20033,     36158,   141904,    292430,   508276
1290,   0,   3,   4,    15,  309,    662,     660,   8008,    12286,     25244,     38179,   157831,    326169,   569370
1289,   0,   0,   0,     7,  135,    330,     277,   4841,     6872,     14004,     24844,    99338,    200497,   351145
1288,   0,   1,   2,    19,  301,    665,     669,   8639,    11047,     24995,     43294,   141748,    312816,   544196
1287,   0,   1,   3,     6,  135,    311,     281,   5033,     6341,     12995,     27049,    93883,    190995,   337033
1286,   0,   1,   0,    13,  297,    807,     552,  11710,    13058,     26816,     54558,   183326,    378826,   669964
1285,   0,   3,   2,     9,  198,    378,     377,   5575,     8291,     17861,     30207,   127865,    265321,   456087
1284,   0,   0,   0,    15,  256,    590,     596,   8446,    10935,     24243,     45221,   157640,    345484,   593426
1283,   0,   0,   3,     8,  187,    351,     369,   5244,     7694,     18626,     27927,   112891,    268835,   442135
1282,   0,   1,   2,    11,  210,    398,     528,   5478,     8784,     21666,     28536,   127074,    315077,   507765
1281,   0,   1,   3,    14,  348,    677,     676,  10617,    15045,     32198,     58528,   221541,    478106,   817754
1280,   0,   1,   1,     8,  155,    392,     473,   5816,     8164,     19913,     30314,   119870,    286698,   471805
1279,   0,   0,   0,    13,  204,    539,     487,   8102,    10111,     21064,     40181,   143740,    300791,   525232
1278,   0,   0,   2,    10,  144,    422,     327,   6004,     8637,     16928,     31865,   126644,    253564,   444547
1277,   0,   0,   4,    14,  265,    466,     660,   6290,     8220,     18461,     31622,   110807,    242408,   419217
1276,   0,   0,   5,    17,  245,    462,     583,   6329,    10125,     24387,     31551,   135514,    325834,   535052
1275,   0,   0,   0,    15,  222,    460,     385,   6225,     7566,     15751,     29398,   100520,    214555,   375097
1274,   0,   0,   0,     4,  147,    337,     364,   4921,     7344,     18247,     26133,   107608,    271526,   436631
1273,   1,   0,   0,     8,  118,    274,     312,   4131,     6449,     15038,     21161,    92106,    218298,   357896
1272,   0,   1,   0,    13,  210,    503,     461,   6846,     9768,     21930,     35057,   138467,    306771,   520027
1271,   0,   2,   0,    12,  158,    406,     313,   6188,     6822,     14705,     31601,   100373,    215386,   375966
1270,   0,   1,   2,     7,  191,    394,     437,   5738,     8294,     17898,     31075,   119206,    262665,   445908
1269,   1,   0,   4,    14,  269,    669,     572,   9027,    12074,     26310,     45404,   168950,    364345,   627639
1268,   0,   2,   4,     9,  267,    640,     587,   9137,    13114,     29119,     48836,   188219,    429387,   719321
1267,   0,   1,   0,    12,  189,    450,     454,   7180,     9675,     20250,     37735,   145614,    305724,   527284
1266,   0,   4,   3,    30,  484,   1179,     919,  14512,    20185,     41093,     72855,   260423,    562218,   973905
1265,   0,   0,   3,    12,  205,    335,     476,   4878,     7987,     19897,     25669,   110019,    277598,   447079
1264,   0,   2,   3,     8,  224,    529,     539,   8492,    10839,     23794,     47814,   161071,    338092,   591407
1263,   0,   0,   1,     6,  168,    393,     339,   5387,     7555,     17718,     29226,   111213,    260407,   432413
1262,   0,   2,   2,     9,  179,    369,     409,   6081,     8158,     18398,     32943,   123727,    281299,   471576
1261,   0,   0,   2,    12,  151,    302,     355,   4947,     6908,     14387,     26686,   105799,    214502,   374051
1260,   0,   2,   2,    10,  166,    334,     419,   4786,     7462,     19747,     25611,   108843,    300673,   468055
1259,   0,   0,   4,     1,  122,    298,     269,   4439,     6026,     12647,     24623,    91965,    189036,   329430
1258,   0,   0,   1,     9,  179,    392,     371,   5972,     8541,     17911,     32199,   125601,    263625,   454801
1257,   1,   1,   6,    30,  515,   1065,    1182,  15114,    23053,     53201,     78444,   331102,    774335,  1278049
1256,   0,   3,   2,    34,  495,   1404,    1021,  20634,    22011,     48919,     99118,   335194,    730118,  1258953
1255,   0,   5,   5,    26,  446,    858,     918,  12798,    18499,     42082,     69201,   275002,    619095,  1038935
1254,   0,   2,   2,    26,  489,   1169,    1094,  15965,    21435,     48376,     91080,   311039,    695932,  1186609
1253,   0,   1,   3,    12,  355,    819,     802,  11513,    16447,     37815,     62874,   247069,    568347,   946057
1252,   0,   0,   5,    23,  410,   1102,     888,  15553,    18896,     41203,     82908,   281211,    607063,  1049262
1251,   0,   2,   4,    15,  264,    546,     629,   8512,    12049,     29811,     46339,   176880,    444796,   719847
1250,   0,   2,   6,    20,  416,    926,     839,  13043,    18115,     37124,     68545,   264907,    545958,   949901
1249,   0,   0,   1,    15,  309,    755,     613,  10910,    13393,     28958,     57520,   196581,    420427,   729482
1248,   0,   1,   2,    29,  339,    863,     796,  12721,    16221,     34816,     66507,   233333,    501918,   867546
1247,   0,   0,   3,     9,  321,    597,     643,   8122,    12599,     27500,     43024,   176427,    392063,   661308
1246,   0,   0,   5,     9,  288,    694,     646,  10338,    13344,     29452,     57552,   203393,    446235,   761956
1245,   0,   0,   1,     7,  158,    380,     433,   5747,     7754,     17550,     31941,   114961,    258546,   437478
1244,   0,   1,   0,    13,  277,    664,     572,   9586,    11585,     25426,     52294,   172775,    377695,   650888
1243,   0,   0,   1,    12,  182,    392,     400,   5892,     8221,     18265,     31716,   124113,    279819,   469013
1242,   0,   0,   3,    10,  244,    548,     529,   7854,    10915,     24946,     40363,   158956,    359367,   603735
1241,   0,   1,   1,     6,  154,    310,     341,   5168,     8085,     16518,     27933,   116292,    238487,   413296
1240,   0,   0,   1,     6,  175,    356,     450,   5706,     8116,     20268,     31148,   122181,    306113,   494520
