Day,DD,MMM,YYYY,   Sales  ,   %Chg
Fri,26,Jun,2020,  47494495,  +40.3
Tue,23,Jun,2020,  33852395,  -22.6
Fri,19,Jun,2020,  43725874,  +39.0
Tue,16,Jun,2020,  31462558,  -32.3
Fri,12,Jun,2020,  46476450,  +36.8
Tue, 9,Jun,2020,  33983732,  -21.5
Fri, 5,Jun,2020,  43308157,  +45.0
Tue, 2,Jun,2020,  29876708,  -25.7
Fri,29,May,2020,  40197372,  +26.9
Tue,26,May,2020,  31680558,  -21.6
Fri,22,May,2020,  40429626,  +36.3
Tue,19,May,2020,  29666277,  -23.4
Fri,15,May,2020,  38737585,  +34.4
Tue,12,May,2020,  28828629,  -15.3
Fri, 8,May,2020,  34035628,  +27.7
Tue, 5,May,2020,  26642797,  -14.9
Fri, 1,May,2020,  31312678,  +32.0
Tue,28,Apr,2020,  23724858,  -20.2
Fri,24,Apr,2020,  29742790,  +34.8
Tue,21,Apr,2020,  22057948,  -33.4
Fri,17,Apr,2020,  33108174,  +38.9
Tue,14,Apr,2020,  23843223,  -25.4
Fri,10,Apr,2020,  31950906,  +35.7
Tue, 7,Apr,2020,  23545017,  -20.3
Fri, 3,Apr,2020,  29528525,  +37.0
Tue,31,Mar,2020,  21554075,  -21.8
Fri,27,Mar,2020,  27562926,  +36.8
Tue,24,Mar,2020,  20144991,  -30.7
Fri,20,Mar,2020,  29068637,   +3.1
Tue,17,Mar,2020,  28205637,  -48.8
Fri,13,Mar,2020,  55122408,  +54.7
Tue,10,Mar,2020,  35627204,  -23.5
Fri, 6,Mar,2020,  46587745,  +38.9
Tue, 3,Mar,2020,  33545007,  -35.8
Fri,28,Feb,2020,  52218710,  +43.6
Tue,25,Feb,2020,  36374446,  -22.7
Fri,21,Feb,2020,  47072577,  +41.1
Tue,18,Feb,2020,  33370850,  -28.6
Fri,14,Feb,2020,  46707795,  +36.9
Tue,11,Feb,2020,  34105948,  -59.9
Fri, 7,Feb,2020,  84963240, +110.2
Tue, 4,Feb,2020,  40428855,  -13.0
Fri,31,Jan,2020,  46472000,  +42.3
Tue,28,Jan,2020,  32664440,  -27.9
Fri,24,Jan,2020,  45332644,  +36.9
Tue,21,Jan,2020,  33102563,  -45.1
Fri,17,Jan,2020,  60345929,  +34.5
Tue,14,Jan,2020,  44857301,  -19.3
Fri,10,Jan,2020,  55609407,  +36.6
Tue, 7,Jan,2020,  40700715,  -16.1
Fri, 3,Jan,2020,  48537347,  -11.9
Tue,31,Dec,2019,  55123084,  +24.3
Fri,27,Dec,2019,  44361347,   +6.8
Tue,24,Dec,2019,  41555354,   -7.5
Fri,20,Dec,2019,  44930225,  +19.6
Tue,17,Dec,2019,  37552202,  -28.6
Fri,13,Dec,2019,  52561367,  +53.3
Tue,10,Dec,2019,  34291618,  -22.8
Fri, 6,Dec,2019,  44408647,  +16.5
Tue, 3,Dec,2019,  38118526,  -22.9
Fri,29,Nov,2019,  49409898,  +40.1
Tue,26,Nov,2019,  35272010,  -23.7
Fri,22,Nov,2019,  46231964,   -9.9
Tue,19,Nov,2019,  51311766,  -18.2
Fri,15,Nov,2019,  62710338,  +32.9
Tue,12,Nov,2019,  47182640,  -28.3
Fri, 8,Nov,2019,  65762823,  +51.5
Tue, 5,Nov,2019,  43410100,  -17.2
Fri, 1,Nov,2019,  52437374,  +26.0
Tue,29,Oct,2019,  41603277,  -21.0
Fri,25,Oct,2019,  52645641,  +36.3
